"CODE";"NAME";"SECTOR";"LANGUAGE";"CURRENCY";"NPWP";"ACCOUNT_CODE";"NOTE";"ACC_VENDOR_CODE";"SHORT_NAME"
"1470";MABES AD;BRTL;ID;IDR;;;;;
"1474";EKATAMA INTRASURYA PERSADA, PT;BRTL;ID;IDR;;;;;
"1475";OCTA UTAMA, PD;BRTL;ID;IDR;;;;O00021-AB/I;OCTA UTAMA
"1476";UNITED NATION CHILDRENS FUN;BRTL;ID;IDR;;;;;
"1477";AORTA, PT;BRTL;ID;IDR;XXXXX;;;;AORTA, PT
"1478";MERCK -TBK INDONESIA PT.;BRTL;ID;IDR;XXX;XXXX;XXX;;
"1479";YAYASAN KANISIUS;BRTL;ID;IDR;;;;Y00008-AB/I;YAYASAN KANISIUS
"1480";AFIAT PHARM IND, PT;BRTL;ID;IDR;;;;;AFIAT PHARM IND, PT
"1481";BPD HIPMI;BRTL;ID;IDR;XXX;;XXX;;BPD HIPMI
"1482";TATA NUTRISANA, PT;BRTL;ID;IDR;;;;;
"1483";INDOBISKUIT MANDIRI MAKMUR, PT;BRTL;ID;IDR;;;;;
"1484";VISI ANAK BANGSA ,PT;BRTL;ID;IDR;"02.022.188.3-022.000";;;;VISI ANAK BANGSA ,PT
"1485";IKA UNPAR;BRTL;ID;IDR;;;;I00049-AB/I;IKA UNPAR
"1486";[BANNED] DEMI GISELA CITRA PRO, PT;BRTL;ID;IDR;"02.126.748.9-008.000";;;;[BANNED] DEMI GISELA CITRA PRO, PT
"1487";INDOSPORTS JAYA PT.;BRTL;ID;IDR;XXX;XXX;XXX;;
"1488";ASTINDO JAYA SPORT, PT;BRTL;ID;IDR;;;;;ASTINDO JAYA SPORT, PT
"1490";BRANDCASTING INDONESIA, PT;BRTL;ID;IDR;;;;;BRANDCASTING INDONESIA, PT
"1491";ASIASEJAHTERA PERDANA PHARMACEUTICAL, PT;BRTL;ID;IDR;;;;;ASIASEJAHTERA PERDANA PHARMACEUTICAL, PT
"1492";TANG MAS, PT;BRTL;ID;IDR;;;;;
"1493";MOTOROLA ELECTRONIC PTE LTD, PT;BRTL;ID;IDR;;;;;
"1494";BINA JUTA JELITA, PT;BRTL;ID;IDR;;;;;BINA JUTA JELITA, PT
"1495";BINA JUTA JELITA, PT;BRTL;ID;IDR;;;;;BINA JUTA JELITA, PT
"1498";HOTEL SAHID RAYA SOLO;BRTL;ID;IDR;;;;H00043-AB/I;HOTEL SAHID SOLO
"1500";KRIYACOM;BRTL;ID;IDR;;;;;
"1501";PANDU ASSHOFA.PT;BRTL;ID;IDR;;;;P00096-AB/I;PANDU ASSHOFA
"1502";VISUAL INOVASI PROFINDO ,PT;BRTL;ID;IDR;;;;;
"1503";SIANTAR TOP, PT;BRTL;ID;IDR;;;;;
"1505";KEJUARAAN MENEMBAK;BRTL;ID;IDR;;;;;
"1506";PRONAS;BRTL;ID;IDR;XXX;XXX;XXX;P00097-AB/I;PRONAS
"1508";BADAN NARKOTIKA NASIONAL (BNN) ;BRTL;ID;IDR;"00.439.395.5.005.000";;;;BADAN NARKOTIKA NASIONAL (BNN) 
"1509";[BANNED] BROADCAST DESIGN INDONESIA (BDI);BRTL;ID;IDR;;;;;[BANNED] BROADCAST DESIGN INDONESIA (BDI)
